dataset,case,side,variant
healthy,VSD_023,left,rotm5_noflip_noise0_bc0
healthy,VSD_023,left,rotm5_noflip_noise0_brighten
healthy,VSD_023,left,rotm5_noflip_noise_bc0
healthy,VSD_023,left,rotm5_noflip_noise_brighten
healthy,VSD_023,left,rotm5_flip_noise0_bc0
healthy,VSD_023,left,rotm5_flip_noise0_brighten
healthy,VSD_023,left,rotm5_flip_noise_bc0
healthy,VSD_023,left,rotm5_flip_noise_brighten
healthy,VSD_023,left,rotp5_noflip_noise0_bc0
healthy,VSD_023,left,rotp5_noflip_noise0_brighten
healthy,VSD_023,left,rotp5_noflip_noise_bc0
healthy,VSD_023,left,rotp5_noflip_noise_brighten
healthy,VSD_023,left,rotp5_flip_noise0_bc0
healthy,VSD_023,left,rotp5_flip_noise0_brighten
healthy,VSD_023,left,rotp5_flip_noise_bc0
healthy,VSD_023,left,rotp5_flip_noise_brighten
healthy,VSD_023,right,rot0_noflip_noise0_brighten
healthy,VSD_023,right,rot0_noflip_noise_bc0
healthy,VSD_023,right,rot0_noflip_noise_brighten
healthy,VSD_023,right,rot0_flip_noise0_bc0
healthy,VSD_023,right,rot0_flip_noise0_brighten
healthy,VSD_023,right,rot0_flip_noise_bc0
healthy,VSD_023,right,rot0_flip_noise_brighten
healthy,VSD_023,right,rotm5_noflip_noise0_bc0
healthy,VSD_023,right,rotm5_noflip_noise0_brighten
healthy,VSD_023,right,rotm5_noflip_noise_bc0
healthy,VSD_023,right,rotm5_noflip_noise_brighten
healthy,VSD_023,right,rotm5_flip_noise0_bc0
healthy,VSD_023,right,rotm5_flip_noise0_brighten
healthy,VSD_023,right,rotm5_flip_noise_bc0
healthy,VSD_023,right,rotm5_flip_noise_brighten
healthy,VSD_023,right,rotp5_noflip_noise0_bc0
healthy,VSD_023,right,rotp5_noflip_noise0_brighten
healthy,VSD_023,right,rotp5_noflip_noise_bc0
healthy,VSD_023,right,rotp5_noflip_noise_brighten
healthy,VSD_023,right,rotp5_flip_noise0_bc0
healthy,VSD_023,right,rotp5_flip_noise0_brighten
healthy,VSD_023,right,rotp5_flip_noise_bc0
healthy,VSD_023,right,rotp5_flip_noise_brighten
healthy,VSD_z001,left,rot0_noflip_noise0_brighten
healthy,VSD_z001,left,rot0_noflip_noise_bc0
healthy,VSD_z001,left,rot0_noflip_noise_brighten
healthy,VSD_z001,left,rot0_flip_noise0_bc0
healthy,VSD_z001,left,rot0_flip_noise0_brighten
healthy,VSD_z001,left,rot0_flip_noise_bc0
healthy,VSD_z001,left,rot0_flip_noise_brighten
healthy,VSD_z001,left,rotm5_noflip_noise0_bc0
healthy,VSD_z001,left,rotm5_noflip_noise0_brighten
healthy,VSD_z001,left,rotm5_noflip_noise_bc0
healthy,VSD_z001,left,rotm5_noflip_noise_brighten
healthy,VSD_z001,left,rotm5_flip_noise0_bc0
healthy,VSD_z001,left,rotm5_flip_noise0_brighten
healthy,VSD_z001,left,rotm5_flip_noise_bc0
healthy,VSD_z001,left,rotm5_flip_noise_brighten
healthy,VSD_z001,left,rotp5_noflip_noise0_bc0
healthy,VSD_z001,left,rotp5_noflip_noise0_brighten
healthy,VSD_z001,left,rotp5_noflip_noise_bc0
healthy,VSD_z001,left,rotp5_noflip_noise_brighten
healthy,VSD_z001,left,rotp5_flip_noise0_bc0
healthy,VSD_z001,left,rotp5_flip_noise0_brighten
healthy,VSD_z001,left,rotp5_flip_noise_bc0
healthy,VSD_z001,left,rotp5_flip_noise_brighten
healthy,VSD_z001,right,rot0_noflip_noise0_brighten
healthy,VSD_z001,right,rot0_noflip_noise_bc0
healthy,VSD_z001,right,rot0_noflip_noise_brighten
healthy,VSD_z001,right,rot0_flip_noise0_bc0
healthy,VSD_z001,right,rot0_flip_noise0_brighten
healthy,VSD_z001,right,rot0_flip_noise_bc0
healthy,VSD_z001,right,rot0_flip_noise_brighten
healthy,VSD_z001,right,rotm5_noflip_noise0_bc0
healthy,VSD_z001,right,rotm5_noflip_noise0_brighten
healthy,VSD_z001,right,rotm5_noflip_noise_bc0
healthy,VSD_z001,right,rotm5_noflip_noise_brighten
healthy,VSD_z001,right,rotm5_flip_noise0_bc0
healthy,VSD_z001,right,rotm5_flip_noise0_brighten
healthy,VSD_z001,right,rotm5_flip_noise_bc0
healthy,VSD_z001,right,rotm5_flip_noise_brighten
healthy,VSD_z001,right,rotp5_noflip_noise0_bc0
healthy,VSD_z001,right,rotp5_noflip_noise0_brighten
healthy,VSD_z001,right,rotp5_noflip_noise_bc0
healthy,VSD_z001,right,rotp5_noflip_noise_brighten
healthy,VSD_z001,right,rotp5_flip_noise0_bc0
healthy,VSD_z001,right,rotp5_flip_noise0_brighten
healthy,VSD_z001,right,rotp5_flip_noise_bc0
healthy,VSD_z001,right,rotp5_flip_noise_brighten
healthy,VSD_z004,left,rot0_noflip_noise0_brighten
healthy,VSD_z004,left,rot0_noflip_noise_bc0
healthy,VSD_z004,left,rot0_noflip_noise_brighten
healthy,VSD_z004,left,rot0_flip_noise0_bc0
healthy,VSD_z004,left,rot0_flip_noise0_brighten
healthy,VSD_z004,left,rot0_flip_noise_bc0
healthy,VSD_z004,left,rot0_flip_noise_brighten
healthy,VSD_z004,left,rotm5_noflip_noise0_bc0
healthy,VSD_z004,left,rotm5_noflip_noise0_brighten
healthy,VSD_z004,left,rotm5_noflip_noise_bc0
healthy,VSD_z004,left,rotm5_noflip_noise_brighten
healthy,VSD_z004,left,rotm5_flip_noise0_bc0
healthy,VSD_z004,left,rotm5_flip_noise0_brighten
healthy,VSD_z004,left,rotm5_flip_noise_bc0
healthy,VSD_z004,left,rotm5_flip_noise_brighten
healthy,VSD_z004,left,rotp5_noflip_noise0_bc0
healthy,VSD_z004,left,rotp5_noflip_noise0_brighten
healthy,VSD_z004,left,rotp5_noflip_noise_bc0
healthy,VSD_z004,left,rotp5_noflip_noise_brighten
healthy,VSD_z004,left,rotp5_flip_noise0_bc0
healthy,VSD_z004,left,rotp5_flip_noise0_brighten
healthy,VSD_z004,left,rotp5_flip_noise_bc0
healthy,VSD_z004,left,rotp5_flip_noise_brighten
healthy,VSD_z004,right,rot0_noflip_noise0_brighten
healthy,VSD_z004,right,rot0_noflip_noise_bc0
healthy,VSD_z004,right,rot0_noflip_noise_brighten
healthy,VSD_z004,right,rot0_flip_noise0_bc0
healthy,VSD_z004,right,rot0_flip_noise0_brighten
healthy,VSD_z004,right,rot0_flip_noise_bc0
healthy,VSD_z004,right,rot0_flip_noise_brighten
healthy,VSD_z004,right,rotm5_noflip_noise0_bc0
healthy,VSD_z004,right,rotm5_noflip_noise0_brighten
healthy,VSD_z004,right,rotm5_noflip_noise_bc0
healthy,VSD_z004,right,rotm5_noflip_noise_brighten
healthy,VSD_z004,right,rotm5_flip_noise0_bc0
healthy,VSD_z004,right,rotm5_flip_noise0_brighten
healthy,VSD_z004,right,rotm5_flip_noise_bc0
healthy,VSD_z004,right,rotm5_flip_noise_brighten
healthy,VSD_z004,right,rotp5_noflip_noise0_bc0
healthy,VSD_z004,right,rotp5_noflip_noise0_brighten
healthy,VSD_z004,right,rotp5_noflip_noise_bc0
healthy,VSD_z004,right,rotp5_noflip_noise_brighten
healthy,VSD_z004,right,rotp5_flip_noise0_bc0
healthy,VSD_z004,right,rotp5_flip_noise0_brighten
healthy,VSD_z004,right,rotp5_flip_noise_bc0
healthy,VSD_z004,right,rotp5_flip_noise_brighten
healthy,VSD_z009,left,rot0_noflip_noise0_brighten
healthy,VSD_z009,left,rot0_noflip_noise_bc0
healthy,VSD_z009,left,rot0_noflip_noise_brighten
healthy,VSD_z009,left,rot0_flip_noise0_bc0
healthy,VSD_z009,left,rot0_flip_noise0_brighten
healthy,VSD_z009,left,rot0_flip_noise_bc0
healthy,VSD_z009,left,rot0_flip_noise_brighten
healthy,VSD_z009,left,rotm5_noflip_noise0_bc0
healthy,VSD_z009,left,rotm5_noflip_noise0_brighten
healthy,VSD_z009,left,rotm5_noflip_noise_bc0
healthy,VSD_z009,left,rotm5_noflip_noise_brighten
healthy,VSD_z009,left,rotm5_flip_noise0_bc0
healthy,VSD_z009,left,rotm5_flip_noise0_brighten
healthy,VSD_z009,left,rotm5_flip_noise_bc0
healthy,VSD_z009,left,rotm5_flip_noise_brighten
healthy,VSD_z009,left,rotp5_noflip_noise0_bc0
healthy,VSD_z009,left,rotp5_noflip_noise0_brighten
healthy,VSD_z009,left,rotp5_noflip_noise_bc0
healthy,VSD_z009,left,rotp5_noflip_noise_brighten
healthy,VSD_z009,left,rotp5_flip_noise0_bc0
healthy,VSD_z009,left,rotp5_flip_noise0_brighten
healthy,VSD_z009,left,rotp5_flip_noise_bc0
healthy,VSD_z009,left,rotp5_flip_noise_brighten
healthy,VSD_z009,right,rot0_noflip_noise0_brighten
healthy,VSD_z009,right,rot0_noflip_noise_bc0
healthy,VSD_z009,right,rot0_noflip_noise_brighten
healthy,VSD_z009,right,rot0_flip_noise0_bc0
healthy,VSD_z009,right,rot0_flip_noise0_brighten
healthy,VSD_z009,right,rot0_flip_noise_bc0
healthy,VSD_z009,right,rot0_flip_noise_brighten
healthy,VSD_z009,right,rotm5_noflip_noise0_bc0
healthy,VSD_z009,right,rotm5_noflip_noise0_brighten
healthy,VSD_z009,right,rotm5_noflip_noise_bc0
healthy,VSD_z009,right,rotm5_noflip_noise_brighten
healthy,VSD_z009,right,rotm5_flip_noise0_bc0
healthy,VSD_z009,right,rotm5_flip_noise0_brighten
healthy,VSD_z009,right,rotm5_flip_noise_bc0
healthy,VSD_z009,right,rotm5_flip_noise_brighten
healthy,VSD_z009,right,rotp5_noflip_noise0_bc0
healthy,VSD_z009,right,rotp5_noflip_noise0_brighten
healthy,VSD_z009,right,rotp5_noflip_noise_bc0
healthy,VSD_z009,right,rotp5_noflip_noise_brighten
healthy,VSD_z009,right,rotp5_flip_noise0_bc0
healthy,VSD_z009,right,rotp5_flip_noise0_brighten
healthy,VSD_z009,right,rotp5_flip_noise_bc0
healthy,VSD_z009,right,rotp5_flip_noise_brighten
healthy,VSD_z013,left,rot0_noflip_noise0_brighten
healthy,VSD_z013,left,rot0_noflip_noise_bc0
healthy,VSD_z013,left,rot0_noflip_noise_brighten
healthy,VSD_z013,left,rot0_flip_noise0_bc0
healthy,VSD_z013,left,rot0_flip_noise0_brighten
healthy,VSD_z013,left,rot0_flip_noise_bc0
healthy,VSD_z013,left,rot0_flip_noise_brighten
healthy,VSD_z013,left,rotm5_noflip_noise0_bc0
healthy,VSD_z013,left,rotm5_noflip_noise0_brighten
healthy,VSD_z013,left,rotm5_noflip_noise_bc0
healthy,VSD_z013,left,rotm5_noflip_noise_brighten
healthy,VSD_z013,left,rotm5_flip_noise0_bc0
healthy,VSD_z013,left,rotm5_flip_noise0_brighten
healthy,VSD_z013,left,rotm5_flip_noise_bc0
healthy,VSD_z013,left,rotm5_flip_noise_brighten
healthy,VSD_z013,left,rotp5_noflip_noise0_bc0
healthy,VSD_z013,left,rotp5_noflip_noise0_brighten
healthy,VSD_z013,left,rotp5_noflip_noise_bc0
healthy,VSD_z013,left,rotp5_noflip_noise_brighten
healthy,VSD_z013,left,rotp5_flip_noise0_bc0
healthy,VSD_z013,left,rotp5_flip_noise0_brighten
healthy,VSD_z013,left,rotp5_flip_noise_bc0
healthy,VSD_z013,left,rotp5_flip_noise_brighten
healthy,VSD_z013,right,rot0_noflip_noise0_brighten
healthy,VSD_z013,right,rot0_noflip_noise_bc0
healthy,VSD_z013,right,rot0_noflip_noise_brighten
healthy,VSD_z013,right,rot0_flip_noise0_bc0
healthy,VSD_z013,right,rot0_flip_noise0_brighten
healthy,VSD_z013,right,rot0_flip_noise_bc0
healthy,VSD_z013,right,rot0_flip_noise_brighten
healthy,VSD_z013,right,rotm5_noflip_noise0_bc0
healthy,VSD_z013,right,rotm5_noflip_noise0_brighten
healthy,VSD_z013,right,rotm5_noflip_noise_bc0
healthy,VSD_z013,right,rotm5_noflip_noise_brighten
healthy,VSD_z013,right,rotm5_flip_noise0_bc0
healthy,VSD_z013,right,rotm5_flip_noise0_brighten
healthy,VSD_z013,right,rotm5_flip_noise_bc0
healthy,VSD_z013,right,rotm5_flip_noise_brighten
healthy,VSD_z013,right,rotp5_noflip_noise0_bc0
healthy,VSD_z013,right,rotp5_noflip_noise0_brighten
healthy,VSD_z013,right,rotp5_noflip_noise_bc0
healthy,VSD_z013,right,rotp5_noflip_noise_brighten
healthy,VSD_z013,right,rotp5_flip_noise0_bc0
healthy,VSD_z013,right,rotp5_flip_noise0_brighten
healthy,VSD_z013,right,rotp5_flip_noise_bc0
healthy,VSD_z013,right,rotp5_flip_noise_brighten
healthy,VSD_z023,left,rot0_noflip_noise0_brighten
healthy,VSD_z023,left,rot0_noflip_noise_bc0
healthy,VSD_z023,left,rot0_noflip_noise_brighten
healthy,VSD_z023,left,rot0_flip_noise0_bc0
healthy,VSD_z023,left,rot0_flip_noise0_brighten
healthy,VSD_z023,left,rot0_flip_noise_bc0
healthy,VSD_z023,left,rot0_flip_noise_brighten
healthy,VSD_z023,left,rotm5_noflip_noise0_bc0
healthy,VSD_z023,left,rotm5_noflip_noise0_brighten
healthy,VSD_z023,left,rotm5_noflip_noise_bc0
healthy,VSD_z023,left,rotm5_noflip_noise_brighten
healthy,VSD_z023,left,rotm5_flip_noise0_bc0
healthy,VSD_z023,left,rotm5_flip_noise0_brighten
healthy,VSD_z023,left,rotm5_flip_noise_bc0
healthy,VSD_z023,left,rotm5_flip_noise_brighten
healthy,VSD_z023,left,rotp5_noflip_noise0_bc0
healthy,VSD_z023,left,rotp5_noflip_noise0_brighten
healthy,VSD_z023,left,rotp5_noflip_noise_bc0
healthy,VSD_z023,left,rotp5_noflip_noise_brighten
healthy,VSD_z023,left,rotp5_flip_noise0_bc0
healthy,VSD_z023,left,rotp5_flip_noise0_brighten
healthy,VSD_z023,left,rotp5_flip_noise_bc0
healthy,VSD_z023,left,rotp5_flip_noise_brighten
healthy,VSD_z023,right,rot0_noflip_noise0_brighten
healthy,VSD_z023,right,rot0_noflip_noise_bc0
healthy,VSD_z023,right,rot0_noflip_noise_brighten
healthy,VSD_z023,right,rot0_flip_noise0_bc0
healthy,VSD_z023,right,rot0_flip_noise0_brighten
healthy,VSD_z023,right,rot0_flip_noise_bc0
healthy,VSD_z023,right,rot0_flip_noise_brighten
healthy,VSD_z023,right,rotm5_noflip_noise0_bc0
healthy,VSD_z023,right,rotm5_noflip_noise0_brighten
healthy,VSD_z023,right,rotm5_noflip_noise_bc0
healthy,VSD_z023,right,rotm5_noflip_noise_brighten
healthy,VSD_z023,right,rotm5_flip_noise0_bc0
healthy,VSD_z023,right,rotm5_flip_noise0_brighten
healthy,VSD_z023,right,rotm5_flip_noise_bc0
healthy,VSD_z023,right,rotm5_flip_noise_brighten
healthy,VSD_z023,right,rotp5_noflip_noise0_bc0
healthy,VSD_z023,right,rotp5_noflip_noise0_brighten
healthy,VSD_z023,right,rotp5_noflip_noise_bc0
healthy,VSD_z023,right,rotp5_noflip_noise_brighten
healthy,VSD_z023,right,rotp5_flip_noise0_bc0
healthy,VSD_z023,right,rotp5_flip_noise0_brighten
healthy,VSD_z023,right,rotp5_flip_noise_bc0
healthy,VSD_z023,right,rotp5_flip_noise_brighten
healthy,VSD_z027,left,rot0_noflip_noise0_brighten
healthy,VSD_z027,left,rot0_noflip_noise_bc0
healthy,VSD_z027,left,rot0_noflip_noise_brighten
healthy,VSD_z027,left,rot0_flip_noise0_bc0
healthy,VSD_z027,left,rot0_flip_noise0_brighten
healthy,VSD_z027,left,rot0_flip_noise_bc0
healthy,VSD_z027,left,rot0_flip_noise_brighten
healthy,VSD_z027,left,rotm5_noflip_noise0_bc0
healthy,VSD_z027,left,rotm5_noflip_noise0_brighten
healthy,VSD_z027,left,rotm5_noflip_noise_bc0
healthy,VSD_z027,left,rotm5_noflip_noise_brighten
healthy,VSD_z027,left,rotm5_flip_noise0_bc0
healthy,VSD_z027,left,rotm5_flip_noise0_brighten
healthy,VSD_z027,left,rotm5_flip_noise_bc0
healthy,VSD_z027,left,rotm5_flip_noise_brighten
healthy,VSD_z027,left,rotp5_noflip_noise0_bc0
healthy,VSD_z027,left,rotp5_noflip_noise0_brighten
healthy,VSD_z027,left,rotp5_noflip_noise_bc0
healthy,VSD_z027,left,rotp5_noflip_noise_brighten
healthy,VSD_z027,left,rotp5_flip_noise0_bc0
healthy,VSD_z027,left,rotp5_flip_noise0_brighten
healthy,VSD_z027,left,rotp5_flip_noise_bc0
healthy,VSD_z027,left,rotp5_flip_noise_brighten
healthy,VSD_z027,right,rot0_noflip_noise0_brighten
healthy,VSD_z027,right,rot0_noflip_noise_bc0
healthy,VSD_z027,right,rot0_noflip_noise_brighten
healthy,VSD_z027,right,rot0_flip_noise0_bc0
healthy,VSD_z027,right,rot0_flip_noise0_brighten
healthy,VSD_z027,right,rot0_flip_noise_bc0
healthy,VSD_z027,right,rot0_flip_noise_brighten
healthy,VSD_z027,right,rotm5_noflip_noise0_bc0
healthy,VSD_z027,right,rotm5_noflip_noise0_brighten
healthy,VSD_z027,right,rotm5_noflip_noise_bc0
healthy,VSD_z027,right,rotm5_noflip_noise_brighten
healthy,VSD_z027,right,rotm5_flip_noise0_bc0
healthy,VSD_z027,right,rotm5_flip_noise0_brighten
healthy,VSD_z027,right,rotm5_flip_noise_bc0
healthy,VSD_z027,right,rotm5_flip_noise_brighten
healthy,VSD_z027,right,rotp5_noflip_noise0_bc0
healthy,VSD_z027,right,rotp5_noflip_noise0_brighten
healthy,VSD_z027,right,rotp5_noflip_noise_bc0
healthy,VSD_z027,right,rotp5_noflip_noise_brighten
healthy,VSD_z027,right,rotp5_flip_noise0_bc0
healthy,VSD_z027,right,rotp5_flip_noise0_brighten
healthy,VSD_z027,right,rotp5_flip_noise_bc0
healthy,VSD_z027,right,rotp5_flip_noise_brighten
healthy,VSD_z035,left,rot0_noflip_noise0_brighten
healthy,VSD_z035,left,rot0_noflip_noise_bc0
healthy,VSD_z035,left,rot0_noflip_noise_brighten
healthy,VSD_z035,left,rot0_flip_noise0_bc0
healthy,VSD_z035,left,rot0_flip_noise0_brighten
healthy,VSD_z035,left,rot0_flip_noise_bc0
healthy,VSD_z035,left,rot0_flip_noise_brighten
healthy,VSD_z035,left,rotm5_noflip_noise0_bc0
healthy,VSD_z035,left,rotm5_noflip_noise0_brighten
healthy,VSD_z035,left,rotm5_noflip_noise_bc0
healthy,VSD_z035,left,rotm5_noflip_noise_brighten
healthy,VSD_z035,left,rotm5_flip_noise0_bc0
healthy,VSD_z035,left,rotm5_flip_noise0_brighten
healthy,VSD_z035,left,rotm5_flip_noise_bc0
healthy,VSD_z035,left,rotm5_flip_noise_brighten
healthy,VSD_z035,left,rotp5_noflip_noise0_bc0
healthy,VSD_z035,left,rotp5_noflip_noise0_brighten
healthy,VSD_z035,left,rotp5_noflip_noise_bc0
healthy,VSD_z035,left,rotp5_noflip_noise_brighten
healthy,VSD_z035,left,rotp5_flip_noise0_bc0
healthy,VSD_z035,left,rotp5_flip_noise0_brighten
healthy,VSD_z035,left,rotp5_flip_noise_bc0
healthy,VSD_z035,left,rotp5_flip_noise_brighten
healthy,VSD_z035,right,rot0_noflip_noise0_brighten
healthy,VSD_z035,right,rot0_noflip_noise_bc0
healthy,VSD_z035,right,rot0_noflip_noise_brighten
healthy,VSD_z035,right,rot0_flip_noise0_bc0
healthy,VSD_z035,right,rot0_flip_noise0_brighten
healthy,VSD_z035,right,rot0_flip_noise_bc0
healthy,VSD_z035,right,rot0_flip_noise_brighten
healthy,VSD_z035,right,rotm5_noflip_noise0_bc0
healthy,VSD_z035,right,rotm5_noflip_noise0_brighten
healthy,VSD_z035,right,rotm5_noflip_noise_bc0
healthy,VSD_z035,right,rotm5_noflip_noise_brighten
healthy,VSD_z035,right,rotm5_flip_noise0_bc0
healthy,VSD_z035,right,rotm5_flip_noise0_brighten
healthy,VSD_z035,right,rotm5_flip_noise_bc0
healthy,VSD_z035,right,rotm5_flip_noise_brighten
healthy,VSD_z035,right,rotp5_noflip_noise0_bc0
healthy,VSD_z035,right,rotp5_noflip_noise0_brighten
healthy,VSD_z035,right,rotp5_noflip_noise_bc0
healthy,VSD_z035,right,rotp5_noflip_noise_brighten
healthy,VSD_z035,right,rotp5_flip_noise0_bc0
healthy,VSD_z035,right,rotp5_flip_noise0_brighten
healthy,VSD_z035,right,rotp5_flip_noise_bc0
healthy,VSD_z035,right,rotp5_flip_noise_brighten
healthy,VSD_z036,left,rot0_noflip_noise0_brighten
healthy,VSD_z036,left,rot0_noflip_noise_bc0
healthy,VSD_z036,left,rot0_noflip_noise_brighten
healthy,VSD_z036,left,rot0_flip_noise0_bc0
healthy,VSD_z036,left,rot0_flip_noise0_brighten
healthy,VSD_z036,left,rot0_flip_noise_bc0
healthy,VSD_z036,left,rot0_flip_noise_brighten
healthy,VSD_z036,left,rotm5_noflip_noise0_bc0
healthy,VSD_z036,left,rotm5_noflip_noise0_brighten
healthy,VSD_z036,left,rotm5_noflip_noise_bc0
healthy,VSD_z036,left,rotm5_noflip_noise_brighten
healthy,VSD_z036,left,rotm5_flip_noise0_bc0
healthy,VSD_z036,left,rotm5_flip_noise0_brighten
healthy,VSD_z036,left,rotm5_flip_noise_bc0
healthy,VSD_z036,left,rotm5_flip_noise_brighten
healthy,VSD_z036,left,rotp5_noflip_noise0_bc0
healthy,VSD_z036,left,rotp5_noflip_noise0_brighten
healthy,VSD_z036,left,rotp5_noflip_noise_bc0
healthy,VSD_z036,left,rotp5_noflip_noise_brighten
healthy,VSD_z036,left,rotp5_flip_noise0_bc0
healthy,VSD_z036,left,rotp5_flip_noise0_brighten
healthy,VSD_z036,left,rotp5_flip_noise_bc0
healthy,VSD_z036,left,rotp5_flip_noise_brighten
healthy,VSD_z036,right,rot0_noflip_noise0_brighten
healthy,VSD_z036,right,rot0_noflip_noise_bc0
healthy,VSD_z036,right,rot0_noflip_noise_brighten
healthy,VSD_z036,right,rot0_flip_noise0_bc0
healthy,VSD_z036,right,rot0_flip_noise0_brighten
healthy,VSD_z036,right,rot0_flip_noise_bc0
healthy,VSD_z036,right,rot0_flip_noise_brighten
healthy,VSD_z036,right,rotm5_noflip_noise0_bc0
healthy,VSD_z036,right,rotm5_noflip_noise0_brighten
healthy,VSD_z036,right,rotm5_noflip_noise_bc0
healthy,VSD_z036,right,rotm5_noflip_noise_brighten
healthy,VSD_z036,right,rotm5_flip_noise0_bc0
healthy,VSD_z036,right,rotm5_flip_noise0_brighten
healthy,VSD_z036,right,rotm5_flip_noise_bc0
healthy,VSD_z036,right,rotm5_flip_noise_brighten
healthy,VSD_z036,right,rotp5_noflip_noise0_bc0
healthy,VSD_z036,right,rotp5_noflip_noise0_brighten
healthy,VSD_z036,right,rotp5_noflip_noise_bc0
healthy,VSD_z036,right,rotp5_noflip_noise_brighten
healthy,VSD_z036,right,rotp5_flip_noise0_bc0
healthy,VSD_z036,right,rotp5_flip_noise0_brighten
healthy,VSD_z036,right,rotp5_flip_noise_bc0
healthy,VSD_z036,right,rotp5_flip_noise_brighten
healthy,VSD_z042,left,rot0_noflip_noise0_brighten
healthy,VSD_z042,left,rot0_noflip_noise_bc0
healthy,VSD_z042,left,rot0_noflip_noise_brighten
healthy,VSD_z042,left,rot0_flip_noise0_bc0
healthy,VSD_z042,left,rot0_flip_noise0_brighten
healthy,VSD_z042,left,rot0_flip_noise_bc0
healthy,VSD_z042,left,rot0_flip_noise_brighten
healthy,VSD_z042,left,rotm5_noflip_noise0_bc0
healthy,VSD_z042,left,rotm5_noflip_noise0_brighten
healthy,VSD_z042,left,rotm5_noflip_noise_bc0
healthy,VSD_z042,left,rotm5_noflip_noise_brighten
healthy,VSD_z042,left,rotm5_flip_noise0_bc0
healthy,VSD_z042,left,rotm5_flip_noise0_brighten
healthy,VSD_z042,left,rotm5_flip_noise_bc0
healthy,VSD_z042,left,rotm5_flip_noise_brighten
healthy,VSD_z042,left,rotp5_noflip_noise0_bc0
healthy,VSD_z042,left,rotp5_noflip_noise0_brighten
healthy,VSD_z042,left,rotp5_noflip_noise_bc0
healthy,VSD_z042,left,rotp5_noflip_noise_brighten
healthy,VSD_z042,left,rotp5_flip_noise0_bc0
healthy,VSD_z042,left,rotp5_flip_noise0_brighten
healthy,VSD_z042,left,rotp5_flip_noise_bc0
healthy,VSD_z042,left,rotp5_flip_noise_brighten
healthy,VSD_z042,right,rot0_noflip_noise0_brighten
healthy,VSD_z042,right,rot0_noflip_noise_bc0
healthy,VSD_z042,right,rot0_noflip_noise_brighten
healthy,VSD_z042,right,rot0_flip_noise0_bc0
healthy,VSD_z042,right,rot0_flip_noise0_brighten
healthy,VSD_z042,right,rot0_flip_noise_bc0
healthy,VSD_z042,right,rot0_flip_noise_brighten
healthy,VSD_z042,right,rotm5_noflip_noise0_bc0
healthy,VSD_z042,right,rotm5_noflip_noise0_brighten
healthy,VSD_z042,right,rotm5_noflip_noise_bc0
healthy,VSD_z042,right,rotm5_noflip_noise_brighten
healthy,VSD_z042,right,rotm5_flip_noise0_bc0
healthy,VSD_z042,right,rotm5_flip_noise0_brighten
healthy,VSD_z042,right,rotm5_flip_noise_bc0
healthy,VSD_z042,right,rotm5_flip_noise_brighten
healthy,VSD_z042,right,rotp5_noflip_noise0_bc0
healthy,VSD_z042,right,rotp5_noflip_noise0_brighten
healthy,VSD_z042,right,rotp5_noflip_noise_bc0
healthy,VSD_z042,right,rotp5_noflip_noise_brighten
healthy,VSD_z042,right,rotp5_flip_noise0_bc0
healthy,VSD_z042,right,rotp5_flip_noise0_brighten
healthy,VSD_z042,right,rotp5_flip_noise_bc0
healthy,VSD_z042,right,rotp5_flip_noise_brighten
healthy,VSD_z046,left,rot0_noflip_noise0_brighten
healthy,VSD_z046,left,rot0_noflip_noise_bc0
healthy,VSD_z046,left,rot0_noflip_noise_brighten
healthy,VSD_z046,left,rot0_flip_noise0_bc0
healthy,VSD_z046,left,rot0_flip_noise0_brighten
healthy,VSD_z046,left,rot0_flip_noise_bc0
healthy,VSD_z046,left,rot0_flip_noise_brighten
healthy,VSD_z046,left,rotm5_noflip_noise0_bc0
healthy,VSD_z046,left,rotm5_noflip_noise0_brighten
healthy,VSD_z046,left,rotm5_noflip_noise_bc0
healthy,VSD_z046,left,rotm5_noflip_noise_brighten
healthy,VSD_z046,left,rotm5_flip_noise0_bc0
healthy,VSD_z046,left,rotm5_flip_noise0_brighten
healthy,VSD_z046,left,rotm5_flip_noise_bc0
healthy,VSD_z046,left,rotm5_flip_noise_brighten
healthy,VSD_z046,left,rotp5_noflip_noise0_bc0
healthy,VSD_z046,left,rotp5_noflip_noise0_brighten
healthy,VSD_z046,left,rotp5_noflip_noise_bc0
healthy,VSD_z046,left,rotp5_noflip_noise_brighten
healthy,VSD_z046,left,rotp5_flip_noise0_bc0
healthy,VSD_z046,left,rotp5_flip_noise0_brighten
healthy,VSD_z046,left,rotp5_flip_noise_bc0
healthy,VSD_z046,left,rotp5_flip_noise_brighten
healthy,VSD_z046,right,rot0_noflip_noise0_brighten
healthy,VSD_z046,right,rot0_noflip_noise_bc0
healthy,VSD_z046,right,rot0_noflip_noise_brighten
healthy,VSD_z046,right,rot0_flip_noise0_bc0
healthy,VSD_z046,right,rot0_flip_noise0_brighten
healthy,VSD_z046,right,rot0_flip_noise_bc0
healthy,VSD_z046,right,rot0_flip_noise_brighten
healthy,VSD_z046,right,rotm5_noflip_noise0_bc0
healthy,VSD_z046,right,rotm5_noflip_noise0_brighten
healthy,VSD_z046,right,rotm5_noflip_noise_bc0
healthy,VSD_z046,right,rotm5_noflip_noise_brighten
healthy,VSD_z046,right,rotm5_flip_noise0_bc0
healthy,VSD_z046,right,rotm5_flip_noise0_brighten
